cui|string|lex
C0261985|suicide and selfinflicted injury by jumping from residential premises (navigational concept)|UMLS-SUICIDE
C0261985|injury-jump fm residence|UMLS-SUICIDE
C0261987|suicide and selfinflicted injury by jumping from natural sites|UMLS-SUICIDE
C0261987|suicide+selfinflicted injury-jump from natural sites|UMLS-SUICIDE
C0261987|suicide and self-inflicted injuries by jumping from natural sites|UMLS-SUICIDE
C0261987|suicide+sii -jump-natural site|UMLS-SUICIDE
C0261987|suicide and selfinflicted injury by jumping from natural sites (finding)|UMLS-SUICIDE
C0261987|suicide and selfinflicted injury by jumping from natural sites (navigational concept)|UMLS-SUICIDE
C0261987|injury-jump fm natur sit|UMLS-SUICIDE
C0261988|suicide and self-inflicted injuries by jumping from unspecified site|UMLS-SUICIDE
C0261988|injury-jump nec|UMLS-SUICIDE
C0261989|suicide and self-inflicted injury by other and unspecified means|UMLS-SUICIDE
C0261990|suicide and selfinflicted injury by jumping or lying before moving object|UMLS-SUICIDE
C0261990|suicide and selfinflicted injury by jumping or lying before moving object nos|UMLS-SUICIDE
C0261990|suicide and self-inflicted injury by jumping or lying before moving object|UMLS-SUICIDE
C0261990|suicide + selfinflicted inj-jump/lie before moving obj nos|UMLS-SUICIDE
C0261990|suicide + selfinflicted injury-jump/lie before moving object|UMLS-SUICIDE
C0261990|suicide+sii-before mov.obj.nos|UMLS-SUICIDE
C0261990|suicide+sii-before moving obj.|UMLS-SUICIDE
C0261990|suicide and selfinflicted injury by jumping or lying before moving object nos (finding)|UMLS-SUICIDE
C0261990|suicide and selfinflicted injury by jumping or lying before moving object (finding)|UMLS-SUICIDE
C0261990|suicide and selfinflicted injury by jumping or lying before moving object (navigational concept)|UMLS-SUICIDE
C0261990|suicide and selfinflicted injury by jumping or lying before moving object nos (navigational concept)|UMLS-SUICIDE
C0261990|injury-moving object|UMLS-SUICIDE
C0261991|suicide and self-inflicted injury by burns, fire|UMLS-SUICIDE
C0261991|injury-burn, fire|UMLS-SUICIDE
C0261992|suicide and self-inflicted injury by scald|UMLS-SUICIDE
C0261992|injury-scald|UMLS-SUICIDE
C0261993|suicide and self-inflicted injury by extremes of cold|UMLS-SUICIDE
C0261993|injury-extreme cold|UMLS-SUICIDE
C0261994|suicide and self-inflicted injury by electrocution|UMLS-SUICIDE
C0261994|injury-electrocution|UMLS-SUICIDE
C0261995|suicide and self-inflicted injury by crashing of motor vehicle|UMLS-SUICIDE
C0261995|injury-motor veh crash|UMLS-SUICIDE
C0261996|suicide and self-inflicted injury by crashing of aircraft|UMLS-SUICIDE
C0261996|injury-aircraft crash|UMLS-SUICIDE
C0261997|suicide and self-inflicted injury by caustic substances, except poisoning|UMLS-SUICIDE
C0261997|injury-caustic substance|UMLS-SUICIDE
C0270419|mild bipolar disorder|UMLS-SUICIDE
C0270419|bipolar disorder mild|UMLS-SUICIDE
C0270419|mild bipolar disorder (diagnosis)|UMLS-SUICIDE
C0270419|mild bipolar disorder (disorder)|UMLS-SUICIDE
C0270420|moderate bipolar disorder|UMLS-SUICIDE
C0270420|bipolar disorder moderate|UMLS-SUICIDE
C0270420|moderate bipolar disorder (diagnosis)|UMLS-SUICIDE
C0270420|moderate bipolar disorder (disorder)|UMLS-SUICIDE
C0270421|severe bipolar disorder without psychotic features|UMLS-SUICIDE
C0270421|bipolar disorder severe without psychotic features|UMLS-SUICIDE
C0270421|severe bipolar disorder without psychotic features (diagnosis)|UMLS-SUICIDE
C0270421|severe bipolar disorder without psychotic features (disorder)|UMLS-SUICIDE
C0270422|severe bipolar disorder with psychotic features|UMLS-SUICIDE
C0270422|bipolar disorder severe with psychotic features|UMLS-SUICIDE
C0270422|severe bipolar disorder with psychotic features (diagnosis)|UMLS-SUICIDE
C0270422|severe bipolar disorder with psychotic features (disorder)|UMLS-SUICIDE
C0270423|severe bipolar disorder with psychotic features, mood-congruent|UMLS-SUICIDE
C0270423|bipolar disorder severe with psychotic features, mood congruent|UMLS-SUICIDE
C0270423|severe bipolar disorder with psychotic features, mood-congruent (diagnosis)|UMLS-SUICIDE
C0270423|severe bipolar disorder with psychotic features, mood-congruent (disorder)|UMLS-SUICIDE
C0270424|severe bipolar disorder with psychotic features, mood-incongruent|UMLS-SUICIDE
C0270424|bipolar disorder severe with psychotic features, mood-incongruent|UMLS-SUICIDE
C0270424|severe bipolar disorder with psychotic features, mood-incongruent (diagnosis)|UMLS-SUICIDE
C0270424|severe bipolar disorder with psychotic features, mood-incongruent (disorder)|UMLS-SUICIDE
C0270425|bipolar disorder in remission|UMLS-SUICIDE
C0270425|bipolar disorder, in remission|UMLS-SUICIDE
C0270425|bipolar disorder in remission (diagnosis)|UMLS-SUICIDE
C0270425|bipolar disorder in remission (disorder)|UMLS-SUICIDE
C0270426|bipolar disorder in partial remission|UMLS-SUICIDE
C0270426|bipolar disorder, partial remission|UMLS-SUICIDE
C0270426|bipolar disorder in partial remission (diagnosis)|UMLS-SUICIDE
C0270426|bipolar disorder in partial remission (disorder)|UMLS-SUICIDE
C0270427|bipolar disorder in full remission|UMLS-SUICIDE
C0270427|bipolar disorder, full remission|UMLS-SUICIDE
C0270427|bipolar disorder in full remission (diagnosis)|UMLS-SUICIDE
C0270427|bipolar disorder in full remission (disorder)|UMLS-SUICIDE
C0270434|mixed bipolar affective disorder, in full remission|UMLS-SUICIDE
C0270434|bipolar affective disorder, mixed, in full remission|UMLS-SUICIDE
C0270434|bipolar disorder mixed affective - in full remission|UMLS-SUICIDE
C0270434|mixed affective bipolar disorder, in full remission|UMLS-SUICIDE
C0270434|mixed bipol.affect.full remiss|UMLS-SUICIDE
C0270434|bipolar i disorder, most recent episode (or current) mixed, in full remission|UMLS-SUICIDE
C0270434|mixed affective bipolar disorder, in full remission (diagnosis)|UMLS-SUICIDE
C0270434|mixed bipolar affective disorder, in full remission (disorder)|UMLS-SUICIDE
C0270434|bipol i cur mixed remiss|UMLS-SUICIDE
C0270455|mild major depression|UMLS-SUICIDE
C0270455|major depression mild|UMLS-SUICIDE
C0270455|mild major depression (diagnosis)|UMLS-SUICIDE
C0270455|mild major depression (disorder)|UMLS-SUICIDE
C0270456|moderate major depression|UMLS-SUICIDE
C0270456|major depression moderate|UMLS-SUICIDE
C0270456|moderate major depression (diagnosis)|UMLS-SUICIDE
C0270456|moderate major depression (disorder)|UMLS-SUICIDE
C0270457|severe major depression without psychotic features|UMLS-SUICIDE
C0270457|major depression severe without psychotic features|UMLS-SUICIDE
C0270457|severe major depressive disorder without psychotic features|UMLS-SUICIDE
C0270457|severe major depressive disorder without psychotic features (diagnosis)|UMLS-SUICIDE
C0270457|severe major depression without psychotic features (disorder)|UMLS-SUICIDE
C0270458|severe major depression with psychotic features|UMLS-SUICIDE
C0270458|major depression severe with psychotic features|UMLS-SUICIDE
C0270458|severe major depression with psychotic features, nos|UMLS-SUICIDE
C0270458|psychotic depression|UMLS-SUICIDE
C0270458|psychotic depression, nos|UMLS-SUICIDE
C0270458|severe major depressive disorder with psychotic features|UMLS-SUICIDE
C0270458|severe major depressive disorder with psychotic features (diagnosis)|UMLS-SUICIDE
C0270458|severe major depression with psychotic features (disorder)|UMLS-SUICIDE
C0270459|severe major depression with psychotic features, mood-congruent|UMLS-SUICIDE
C0270459|major depression severe with psychotic features mood-congruent|UMLS-SUICIDE
C0270459|severe major depressive disorder with psychotic features, mood congruent (diagnosis)|UMLS-SUICIDE
C0270459|severe major depressive disorder with psychotic features, mood congruent|UMLS-SUICIDE
C0270459|severe major depression with psychotic features, mood-congruent (disorder)|UMLS-SUICIDE
C0270460|severe major depression with psychotic features, mood-incongruent|UMLS-SUICIDE
C0270460|major depression severe with psychotic features mood-incongruent|UMLS-SUICIDE
C0270460|severe major depressive disorder with psychotic features, mood incongruent (diagnosis)|UMLS-SUICIDE
C0270460|severe major depressive disorder with psychotic features, mood incongruent|UMLS-SUICIDE
C0270460|severe major depression with psychotic features, mood-incongruent (disorder)|UMLS-SUICIDE
C0270461|major depression in remission|UMLS-SUICIDE
C0270461|major depression - in remission|UMLS-SUICIDE
C0270461|major depression in remission, nos|UMLS-SUICIDE
C0270461|major depression, in remission|UMLS-SUICIDE
C0270461|major depressive disorder remission|UMLS-SUICIDE
C0270461|major depressive disorder - in remission|UMLS-SUICIDE
C0270461|major depressive disorder, in remission|UMLS-SUICIDE
C0270461|major depressive disorder, in remission (diagnosis)|UMLS-SUICIDE
C0270461|major depression in remission (disorder)|UMLS-SUICIDE
C0270461|mdd in remission|UMLS-SUICIDE
C0270461|major depressive disorder, in remission (mdd)|UMLS-SUICIDE
C0270462|major depression in partial remission|UMLS-SUICIDE
C0270462|major depression - in partial remission|UMLS-SUICIDE
C0270462|major depressive disorder, in partial remission|UMLS-SUICIDE
C0270462|major depressive disorder - in partial remission|UMLS-SUICIDE
C0270462|major depressive disorder, in partial remission (diagnosis)|UMLS-SUICIDE
C0270462|major depression in partial remission (disorder)|UMLS-SUICIDE
C0270463|major depression in full remission|UMLS-SUICIDE
C0270463|major depression in complete remission|UMLS-SUICIDE
C0270463|major depression - in complete remission|UMLS-SUICIDE
C0270463|major depressive disorder, in complete remission (diagnosis)|UMLS-SUICIDE
C0270463|major depressive disorder, in complete remission|UMLS-SUICIDE
C0270463|major depressive disorder - in complete remission|UMLS-SUICIDE
C0270463|major depression in full remission (disorder)|UMLS-SUICIDE
C0270463|major depression in complete remission (disorder)|UMLS-SUICIDE
C0270467|severe major depression, single episode, with psychotic features, mood-congruent|UMLS-SUICIDE
C0270467|severe single episode major depression with psychotic features, mood-congruent|UMLS-SUICIDE
C0270467|major depression single episode severe w/ psychotic features, mood congruent|UMLS-SUICIDE
C0270467|severe single episode major depression with psychotic features, mood-congruent (diagnosis)|UMLS-SUICIDE
C0270467|severe major depression, single episode, with psychotic features, mood-congruent (disorder)|UMLS-SUICIDE
C0270468|severe major depression, single episode, with psychotic features, mood-incongruent|UMLS-SUICIDE
C0270468|major depression single episode severe w/ psychotic features, mood-incongruent|UMLS-SUICIDE
C0270468|severe major depression, single episode, with psychotic features, mood-incongruent (diagnosis)|UMLS-SUICIDE
C0270468|severe major depression, single episode, with psychotic features, mood-incongruent (disorder)|UMLS-SUICIDE
C0270470|single episode of major depression in full remission|UMLS-SUICIDE
C0270470|major depression, single episode, in full remission|UMLS-SUICIDE
C0270470|major depression, single episode, in complete remission|UMLS-SUICIDE
C0270470|single episode of major depression in full remission (disorder)|UMLS-SUICIDE
C0270470|major depression, single episode, in complete remission (disorder)|UMLS-SUICIDE
C0270475|severe recurrent major depression with psychotic features, mood-congruent|UMLS-SUICIDE
C0270475|major depression recurrent severe with psychotic features, mood-congruent|UMLS-SUICIDE
C0270475|severe recurrent major depression with psychotic features, mood-congruent (diagnosis)|UMLS-SUICIDE
C0270475|severe recurrent major depression with psychotic features, mood-congruent (disorder)|UMLS-SUICIDE
C0270476|severe recurrent major depression with psychotic features, mood-incongruent|UMLS-SUICIDE
C0270476|major depression recurrent severe with psychotic features, mood-incongruent|UMLS-SUICIDE
C0270476|severe recurrent major depression with psychotic features, mood-incongruent (diagnosis)|UMLS-SUICIDE
C0270476|severe recurrent major depression with psychotic features, mood-incongruent (disorder)|UMLS-SUICIDE
C0270477|recurrent major depression in remission|UMLS-SUICIDE
C0270477|major depression, recurrent, in remission|UMLS-SUICIDE
C0270477|recurrent depressive disorder, currently in remission|UMLS-SUICIDE
C0270477|[x]recurrent depressive disorder, currently in remission|UMLS-SUICIDE
C0270477|recurr depress in remission|UMLS-SUICIDE
C0270477|[x]recurr depress in remission|UMLS-SUICIDE
C0270477|recurrent major depression in remission (diagnosis)|UMLS-SUICIDE
C0270477|[x]recurrent depressive disorder, currently in remission (disorder)|UMLS-SUICIDE
C0270477|[x]recurrent depressive disorder, currently in remission (finding)|UMLS-SUICIDE
C0270477|recurrent major depression in remission (disorder)|UMLS-SUICIDE
C0270477|remission in; recurrent depressive disorder|UMLS-SUICIDE
C0270477|recurrent depressive disorder; remission in|UMLS-SUICIDE
C0270480|early onset dysthymia|UMLS-SUICIDE
C0270480|early onset dysthymia (disorder)|UMLS-SUICIDE
C0270480|early onset dysthymia (diagnosis)|UMLS-SUICIDE
C0270480|early onset depressive neurosis|UMLS-SUICIDE
C0270481|late onset dysthymia|UMLS-SUICIDE
C0270481|late onset dysthymia (disorder)|UMLS-SUICIDE
C0270481|late onset depressive neurosis|UMLS-SUICIDE
C0270481|late onset dysthymia (diagnosis)|UMLS-SUICIDE
C0270482|primary dysthymia|UMLS-SUICIDE
C0270482|primary dysthymia, nos|UMLS-SUICIDE
C0270482|primary dysthymia (disorder)|UMLS-SUICIDE
C0270482|primary dysthymia (diagnosis)|UMLS-SUICIDE
C0270482|primary depressive neurosis|UMLS-SUICIDE
C0270483|primary dysthymia early onset|UMLS-SUICIDE
C0270483|primary dysthymia, early onset|UMLS-SUICIDE
C0270483|dysthymia (depressive neurosis), primary early onset|UMLS-SUICIDE
C0270483|primary dysthymia, early onset (diagnosis)|UMLS-SUICIDE
C0270483|primary dysthymia early onset (disorder)|UMLS-SUICIDE
C0270484|primary dysthymia late onset|UMLS-SUICIDE
C0270484|primary dysthymia, late onset|UMLS-SUICIDE
C0270484|dysthymia (depressive neurosis), primary late onset|UMLS-SUICIDE
C0270484|primary dysthymia, late onset (diagnosis)|UMLS-SUICIDE
C0270484|primary dysthymia late onset (disorder)|UMLS-SUICIDE
C0270485|secondary dysthymia|UMLS-SUICIDE
C0270485|secondary dysthymia, nos|UMLS-SUICIDE
C0270485|secondary dysthymia (disorder)|UMLS-SUICIDE
C0270485|secondary dysthymia (diagnosis)|UMLS-SUICIDE
C0270485|secondary depressive neurosis|UMLS-SUICIDE
C0270486|secondary dysthymia early onset|UMLS-SUICIDE
C0270486|secondary dysthymia, early onset|UMLS-SUICIDE
C0270486|dysthymia (depressive neurosis), secondary early onset|UMLS-SUICIDE
C0270486|secondary dysthymia, early onset (diagnosis)|UMLS-SUICIDE
C0270486|secondary dysthymia early onset (disorder)|UMLS-SUICIDE
C0270487|secondary dysthymia late onset|UMLS-SUICIDE
C0270487|secondary dysthymia, late onset|UMLS-SUICIDE
C0270487|dysthymia (depressive neurosis), secondary late onset|UMLS-SUICIDE
C0270487|secondary dysthymia, late onset (diagnosis)|UMLS-SUICIDE
C0270487|secondary dysthymia late onset (disorder)|UMLS-SUICIDE
C0270488|stuporous depression|UMLS-SUICIDE
C0270488|depression stuporous|UMLS-SUICIDE
C0270488|stuporous depression (diagnosis)|UMLS-SUICIDE
C0270488|stuporous depression (disorder)|UMLS-SUICIDE
C0270496|schizoaffective disorder, bipolar type|UMLS-SUICIDE
C0270496|disorder; schizoaffective, bipolar type|UMLS-SUICIDE
C0270496|schizoaffective; disorder, bipolar type|UMLS-SUICIDE
C0270496|schizoaffective disorder bipolar type|UMLS-SUICIDE
C0270496|schizoaffective disorder, bipolar type (disorder)|UMLS-SUICIDE
C0270496|schizo affective disorder bipolar type|UMLS-SUICIDE
C0270497|schizoaffective disorder, depressive type|UMLS-SUICIDE
C0270497|disorder; schizoaffective, depressive type|UMLS-SUICIDE
C0270497|schizoaffective disorder depressive type|UMLS-SUICIDE
C0270497|schzaffctve dis depres type|UMLS-SUICIDE
C0270497|schizophren psychos,depress|UMLS-SUICIDE
C0270497|schizophreniform psychosis, depressive type|UMLS-SUICIDE
C0270497|psychosis; schizophreniform, depressive type|UMLS-SUICIDE
C0270497|schizophrenia, schizo-affective type, depressed|UMLS-SUICIDE
C0270497|schizoaffective disorder, depressive type (disorder)|UMLS-SUICIDE
C0270615|generalized neuromuscular exhaustion syndrome|UMLS-SUICIDE
C0270615|generalised neuromuscular exhaustion syndrome|UMLS-SUICIDE
C0270615|nielsen's syndrome|UMLS-SUICIDE
C0270615|generalized neuromuscular exhaustion syndrome (disorder)|UMLS-SUICIDE
C0274458|suicidal deliberate poisoning|UMLS-SUICIDE
C0274458|poisoning, deliberate, suicidal|UMLS-SUICIDE
C0274458|suicidal deliberate poisoning (disorder)|UMLS-SUICIDE
C0277663|suicide by self-administered drug|UMLS-SUICIDE
C0277663|suicide by self-administered drug (disorder)|UMLS-SUICIDE
C0277663|suicide by self-administered drug (event)|UMLS-SUICIDE
C0277665|first known suicide attempt|UMLS-SUICIDE
C0277665|suicide, first known attempt|UMLS-SUICIDE
C0277665|first known suicide attempt (disorder)|UMLS-SUICIDE
C0277665|first known suicide attempt (event)|UMLS-SUICIDE
C0277666|previous known suicide attempt|UMLS-SUICIDE
C0277666|suicide, previous known attempt|UMLS-SUICIDE
C0277666|previous known suicide attempt (disorder)|UMLS-SUICIDE
C0277666|previous known suicide attempt (event)|UMLS-SUICIDE
C0277667|suicide attempt by adequate means|UMLS-SUICIDE
C0277667|suicide attempt, adequate means|UMLS-SUICIDE
C0277667|suicide attempt by adequate means (disorder)|UMLS-SUICIDE
C0277667|suicide attempt by adequate means (event)|UMLS-SUICIDE
C0277668|suicide by multiple means|UMLS-SUICIDE
C0277668|suicide, multiple means used|UMLS-SUICIDE
C0277668|suicide by multiple means (disorder)|UMLS-SUICIDE
C0277668|suicide by multiple means (event)|UMLS-SUICIDE
C0277670|suicide while incarcerated|UMLS-SUICIDE
C0277670|suicide under legal jurisdiction|UMLS-SUICIDE
C0277670|suicide while incarcerated (disorder)|UMLS-SUICIDE
C0277670|suicide whilst incarcerated|UMLS-SUICIDE
C0277670|suicide while incarcerated (event)|UMLS-SUICIDE
C0277683|undetermined manner of death, suicide suspected|UMLS-SUICIDE
C0277683|probable suicide|UMLS-SUICIDE
C0277683|suspected suicide|UMLS-SUICIDE
C0277683|suicide, suspected|UMLS-SUICIDE
C0277683|undetermined manner of death, suicide suspected (disorder)|UMLS-SUICIDE
C0277683|suspected suicide (disorder)|UMLS-SUICIDE
C0277683|undetermined manner of death, suicide suspected (event)|UMLS-SUICIDE
C0277684|animal sacrifice, nos|UMLS-SUICIDE
C0277684|animal sacrifice|UMLS-SUICIDE
C0277684|f-d0a animal sacrifice|UMLS-SUICIDE
C0277684|animal sacrifice (disorder)|UMLS-SUICIDE
C0277685|nonexperimental sacrifice|UMLS-SUICIDE
C0277685|nonexperimental sacrifice (event) (disorder)|UMLS-SUICIDE
C0277685|nonexperimental sacrifice (disorder)|UMLS-SUICIDE
C0277686|experimental sacrifice|UMLS-SUICIDE
C0277686|experimental sacrifice (event)|UMLS-SUICIDE
C0277686|experimental sacrifice (disorder)|UMLS-SUICIDE
C0304755|injectable testosterone preparation|UMLS-SUICIDE
C0304755|injectable testosterone preparation (product)|UMLS-SUICIDE
C0304755|injectable testosterone preparation (substance)|UMLS-SUICIDE
C0338230|cancer and suicide|UMLS-SUICIDE
C0338230|suicide and cancer|UMLS-SUICIDE
C0338653|organic bipolar disorder|UMLS-SUICIDE
C0338653|bipolar disorder organic|UMLS-SUICIDE
C0338653|bipolar; disorder, organic|UMLS-SUICIDE
C0338653|disorder; bipolar, organic|UMLS-SUICIDE
C0338653|organic bipolar disorder (diagnosis)|UMLS-SUICIDE
C0338653|organic bipolar disorder (disorder)|UMLS-SUICIDE
C0338715|drug-induced depressive state|UMLS-SUICIDE
C0338715|depressive state induced by drugs|UMLS-SUICIDE
C0338715|drug-induced organic affective syndrome|UMLS-SUICIDE
C0338715|drug-induced depressive state (disorder)|UMLS-SUICIDE
C0338715|drug-induced depression|UMLS-SUICIDE
C0338808|post-schizophrenic depression|UMLS-SUICIDE
C0338808|depression post-schizophrenic|UMLS-SUICIDE
C0338808|depression; post-schizophrenic|UMLS-SUICIDE
C0338808|post-schizophrenic; depression|UMLS-SUICIDE
C0338808|post-schizophrenic depression (diagnosis)|UMLS-SUICIDE
C0338808|post-schizophrenic depression (disorder)|UMLS-SUICIDE
C0338808|postpsychotic depression; schizophrenic|UMLS-SUICIDE
C0338808|postschizophrenic depression|UMLS-SUICIDE
C0338808|schizophrenia; postpsychotic depression|UMLS-SUICIDE
C0338840|single manic episode, mild|UMLS-SUICIDE
C0338840|manic episode single, mild|UMLS-SUICIDE
C0338840|single manic episode, mild (diagnosis)|UMLS-SUICIDE
C0338840|single manic episode, mild (disorder)|UMLS-SUICIDE
C0338841|single manic episode, moderate|UMLS-SUICIDE
C0338841|manic episode single, moderate|UMLS-SUICIDE
C0338841|single manic episode, moderate (diagnosis)|UMLS-SUICIDE
C0338841|single manic episode, moderate (disorder)|UMLS-SUICIDE
C0338842|single manic episode, severe, with psychosis|UMLS-SUICIDE
C0338842|manic episode single, severe, with psychosis|UMLS-SUICIDE
C0338842|single manic epis.-severe+psyc|UMLS-SUICIDE
C0338842|single manic episode, severe, with psychosis (diagnosis)|UMLS-SUICIDE
C0338842|single manic episode, severe, with psychosis (disorder)|UMLS-SUICIDE
C0338843|bipolar i disorder, single manic episode, in partial or unspecified remission|UMLS-SUICIDE
C0338843|manic disorder, single episode, in partial or unspecified remission|UMLS-SUICIDE
C0338843|single manic episode in partial or unspecified remission (disorder)|UMLS-SUICIDE
C0338843|single manic epis-part remiss.|UMLS-SUICIDE
C0338843|single manic episode in partial or unspecified remission|UMLS-SUICIDE
C0338843|bipol i sing man rem nos|UMLS-SUICIDE
C0338844|single manic episode in full remission (disorder)|UMLS-SUICIDE
C0338847|other manic-depressive psychosis|UMLS-SUICIDE
C0338847|other manic-depress.psych.nos|UMLS-SUICIDE
C0338847|other manic-depressive psychos|UMLS-SUICIDE
C0338847|manic-depressive psychosis, other and unspecified|UMLS-SUICIDE
C0338847|other and unspecified manic-depressive psychosis|UMLS-SUICIDE
C0338847|other and unspecified manic-depressive psychoses|UMLS-SUICIDE
C0338847|other and unspecified manic-depressive psychoses nos|UMLS-SUICIDE
C0338847|other manic-depressive psychos (disorder)|UMLS-SUICIDE
C0338847|other and unspecified manic-depressive psychoses nos (disorder)|UMLS-SUICIDE
C0338847|other and unspecified manic-depressive psychoses (disorder)|UMLS-SUICIDE
C0338848|other mixed manic-depressive psychoses|UMLS-SUICIDE
C0338848|other mixed manic-depres psych|UMLS-SUICIDE
C0338848|other mixed manic-depressive psychoses (disorder)|UMLS-SUICIDE
C0338849|manic-depressive psychosis, unspecified|UMLS-SUICIDE
C0338849|unspecified manic-depressive psychoses|UMLS-SUICIDE
C0338849|unspec manic-depressive psycho|UMLS-SUICIDE
C0338849|unspecified manic-depressive psychoses (disorder)|UMLS-SUICIDE
C0338852|unspecified bipolar affective disorder, mild|UMLS-SUICIDE
C0338852|unsp.bipolar affective-mild|UMLS-SUICIDE
C0338852|unspecified bipolar affective disorder, mild (disorder)|UMLS-SUICIDE
C0338853|unspecified bipolar affective disorder, moderate|UMLS-SUICIDE
C0338853|unsp.bipolar affect.-moderate|UMLS-SUICIDE
C0338853|unspecified bipolar affective disorder, moderate (disorder)|UMLS-SUICIDE
C0338854|unspecified bipolar affective disorder, severe, without mention of psychosis|UMLS-SUICIDE
C0338854|unsp.bipolar affect.-severe|UMLS-SUICIDE
C0338854|unspecified bipolar affective disorder, severe, no psychosis|UMLS-SUICIDE
C0338854|unspecified bipolar affective disorder, severe, without mention of psychosis (disorder)|UMLS-SUICIDE
C0338855|unspecified bipolar affective disorder, severe, with psychosis|UMLS-SUICIDE
C0338855|unspecified bipolar affective disorder,severe with psychosis|UMLS-SUICIDE
C0338855|unsp.bipol.affect.-severe+psyc|UMLS-SUICIDE
C0338855|unspecified bipolar affective disorder, severe, with psychosis (disorder)|UMLS-SUICIDE
C0338856|unspecified bipolar affective disorder, in partial or unspecified remission|UMLS-SUICIDE
C0338856|unsp.bipol.affect.-part remiss|UMLS-SUICIDE
C0338856|unspecified bipolar affect disord, partial/unspec remission|UMLS-SUICIDE
C0338856|unspecified bipolar affective disorder, in partial or unspecified remission (disorder)|UMLS-SUICIDE
C0338857|unspecified bipolar affective disorder, in full remission|UMLS-SUICIDE
C0338857|unsp.bipol.affect.-full remiss|UMLS-SUICIDE
C0338857|unspecified bipolar affective disorder, in full remission (disorder)|UMLS-SUICIDE
C0338859|mixed bipolar affective disorder, unspecified|UMLS-SUICIDE
C0338859|mixed bipolar affective-unspec|UMLS-SUICIDE
C0338859|mixed bipolar affective disorder, unspecified (disorder)|UMLS-SUICIDE
C0338860|mixed bipolar affective disorder, mild|UMLS-SUICIDE
C0338860|mixed affective bipolar disorder, mild|UMLS-SUICIDE
C0338860|mixed bipolar affective-mild|UMLS-SUICIDE
C0338860|mixed affective bipolar disorder, mild (diagnosis)|UMLS-SUICIDE
C0338860|mixed bipolar affective disorder, mild (disorder)|UMLS-SUICIDE
C0338861|mixed bipolar affective disorder, moderate|UMLS-SUICIDE
C0338861|bipolar disorder mixed affective, moderate|UMLS-SUICIDE
C0338861|mixed bipolar affect.-moderate|UMLS-SUICIDE
C0338861|bipolar disorder mixed affective, moderate (diagnosis)|UMLS-SUICIDE
C0338861|mixed bipolar affective disorder, moderate (disorder)|UMLS-SUICIDE
C0338862|mixed bipolar affective disorder, severe, without mention of psychosis|UMLS-SUICIDE
C0338862|mixed bipolar affect.-severe|UMLS-SUICIDE
C0338862|mixed bipolar affective disorder, severe, without psychosis|UMLS-SUICIDE
C0338862|mixed bipolar affective disorder, severe, without mention of psychosis (disorder)|UMLS-SUICIDE
C0338863|mixed bipolar affective disorder, severe, with psychosis|UMLS-SUICIDE
C0338863|bipolar disorder mixed affective, severe with psychosis|UMLS-SUICIDE
C0338863|mixed affective bipolar disorder, severe with psychosis|UMLS-SUICIDE
C0338863|mixed bipol.affect.severe+psyc|UMLS-SUICIDE
C0338863|mixed affective bipolar disorder, severe with psychosis (diagnosis)|UMLS-SUICIDE
C0338863|mixed bipolar affective disorder, severe, with psychosis (disorder)|UMLS-SUICIDE
C0338866|bipolar affective disorder, currently depressed, mild|UMLS-SUICIDE
C0338866|depress.bipolar affect.-mild|UMLS-SUICIDE
C0338866|bipolar affective disorder, current episode depressed, mild (diagnosis)|UMLS-SUICIDE
C0338866|bipolar affective disorder, current episode depressed, mild|UMLS-SUICIDE
C0338866|bipolar disorder affective, current episode depressed, mild|UMLS-SUICIDE
C0338866|bipolar affective disorder, currently depressed, mild (disorder)|UMLS-SUICIDE
C0338867|bipolar affective disorder, currently depressed, moderate|UMLS-SUICIDE
C0338867|depr.bipolar affect.-moderate|UMLS-SUICIDE
C0338867|bipolar affective disorder, current episode depressed, moderate|UMLS-SUICIDE
C0338867|bipolar disorder affective, current episode depressed, moderate|UMLS-SUICIDE
C0338867|bipolar affective disorder, current episode depressed, moderate (diagnosis)|UMLS-SUICIDE
C0338867|bipolar affective disorder, currently depressed, moderate (disorder)|UMLS-SUICIDE
C0338868|bipolar affective disorder, currently depressed, severe, without mention of psychosis|UMLS-SUICIDE
C0338868|depr.bipolar affect.-severe|UMLS-SUICIDE
C0338868|bipolar affect disord, now depressed, severe, no psychosis|UMLS-SUICIDE
C0338868|bipolar affective disorder, currently depressed, severe, without mention of psychosis (disorder)|UMLS-SUICIDE
C0338869|bipolar affective disorder, current episode depressed, severe with psychosis|UMLS-SUICIDE
C0338869|bipolar disorder affective, current episode depressed, severe with psychosis|UMLS-SUICIDE
C0338869|depr.bipol.affect.-severe+psyc|UMLS-SUICIDE
C0338869|bipolar affect disord, now depressed, severe with psychosis|UMLS-SUICIDE
C0338869|bipolar affective disorder, currently depressed, severe, with psychosis|UMLS-SUICIDE
C0338869|bipolar affective disorder, current episode depressed, severe with psychosis (diagnosis)|UMLS-SUICIDE
C0338869|bipolar affective disorder, currently depressed, severe, with psychosis (disorder)|UMLS-SUICIDE
C0338870|bipolar affective disorder, currently depressed, in partial or unspecified remission|UMLS-SUICIDE
C0338870|depr.bipol.affect.-part remiss|UMLS-SUICIDE
C0338870|bipolar affect disord, now depressed, part/unspec remission|UMLS-SUICIDE
C0338870|bipolar affective disorder, currently depressed, in partial or unspecified remission (disorder)|UMLS-SUICIDE
